AFFGEOID,GEOID,geoid_ude,2014_unem,2018_unemp,18-14_unem
1400000US06059042313,"06059042313","6059042313",4.69,3.17,-1.520
1400000US06059042325,"06059042325","6059042325",4.60,3.38,-1.220
1400000US06059042328,"06059042328","6059042328",8.02,6.28,-1.740
1400000US06059042335,"06059042335","6059042335",7.16,7.51,0.350
1400000US06059042337,"06059042337","6059042337",8.32,5.57,-2.750
1400000US06059052404,"06059052404","6059052404",9.23,8.51,-0.720
1400000US06059052418,"06059052418","6059052418",5.78,3.67,-2.110
1400000US06059052423,"06059052423","6059052423",3.67,5.03,1.360
1400000US06059052505,"06059052505","6059052505",5.38,6.94,1.560
1400000US06059052513,"06059052513","6059052513",3.36,8.01,4.650
1400000US06059052521,"06059052521","6059052521",6.58,4.15,-2.430
1400000US06059052526,"06059052526","6059052526",7.40,6.42,-0.980
1400000US06059062610,"06059062610","6059062610",6.64,5.68,-0.960
1400000US06059062612,"06059062612","6059062612",11.28,5.94,-5.340
1400000US06059062629,"06059062629","6059062629",9.82,5.22,-4.600
1400000US06059062631,"06059062631","6059062631",7.29,4.26,-3.030
1400000US06059062634,"06059062634","6059062634",5.56,2.69,-2.870
1400000US06059062643,"06059062643","6059062643",3.26,2.06,-1.200
1400000US06059062646,"06059062646","6059062646",14.97,4.10,-10.870
1400000US06059062648,"06059062648","6059062648",7.73,7.08,-0.650
1400000US06059062649,"06059062649","6059062649",11.01,9.99,-1.020
1400000US06059062800,"06059062800","6059062800",14.28,4.52,-9.760
1400000US06059063004,"06059063004","6059063004",7.24,2.72,-4.520
1400000US06059063007,"06059063007","6059063007",8.64,5.03,-3.610
1400000US06059063008,"06059063008","6059063008",4.31,4.41,0.100
1400000US06059063010,"06059063010","6059063010",10.28,6.06,-4.220
1400000US06059063201,"06059063201","6059063201",6.73,3.58,-3.150
1400000US06059063302,"06059063302","6059063302",5.91,4.12,-1.790
1400000US06059063701,"06059063701","6059063701",11.09,5.44,-5.650
1400000US06059063806,"06059063806","6059063806",4.03,2.41,-1.620
1400000US06059063902,"06059063902","6059063902",6.26,5.22,-1.040
1400000US06059074005,"06059074005","6059074005",7.40,4.22,-3.180
1400000US06059074103,"06059074103","6059074103",7.76,3.53,-4.230
1400000US06059074107,"06059074107","6059074107",6.89,2.94,-3.950
1400000US06059074407,"06059074407","6059074407",7.12,5.49,-1.630
1400000US06059074501,"06059074501","6059074501",12.90,4.45,-8.450
1400000US06059074803,"06059074803","6059074803",8.94,9.92,0.980
1400000US06059074806,"06059074806","6059074806",13.90,8.72,-5.180
1400000US06059075302,"06059075302","6059075302",14.77,10.88,-3.890
1400000US06059075401,"06059075401","6059075401",8.59,4.44,-4.150
1400000US06059075603,"06059075603","6059075603",5.43,1.09,-4.340
1400000US06059075701,"06059075701","6059075701",10.01,4.98,-5.030
1400000US06059075812,"06059075812","6059075812",9.90,3.85,-6.050
1400000US06059075901,"06059075901","6059075901",14.40,3.56,-10.840
1400000US06059076000,"06059076000","6059076000",10.94,3.75,-7.190
1400000US06059076202,"06059076202","6059076202",10.01,4.45,-5.560
1400000US06059086304,"06059086304","6059086304",8.61,5.50,-3.110
1400000US06059086501,"06059086501","6059086501",9.50,5.56,-3.940
1400000US06059086601,"06059086601","6059086601",16.66,8.00,-8.660
1400000US06059086802,"06059086802","6059086802",13.71,6.39,-7.320
1400000US06059087101,"06059087101","6059087101",5.13,4.57,-0.560
1400000US06059087200,"06059087200","6059087200",14.73,7.22,-7.510
1400000US06059087602,"06059087602","6059087602",8.87,4.63,-4.240
1400000US06059087703,"06059087703","6059087703",14.21,4.72,-9.490
1400000US06059087802,"06059087802","6059087802",8.72,4.88,-3.840
1400000US06059088002,"06059088002","6059088002",11.09,2.16,-8.930
1400000US06059088201,"06059088201","6059088201",16.59,7.37,-9.220
1400000US06059088401,"06059088401","6059088401",10.13,3.99,-6.140
1400000US06059088402,"06059088402","6059088402",12.14,7.99,-4.150
1400000US06059088502,"06059088502","6059088502",10.29,5.23,-5.060
1400000US06059088601,"06059088601","6059088601",9.70,6.30,-3.400
1400000US06059088801,"06059088801","6059088801",9.42,5.13,-4.290
1400000US06059088802,"06059088802","6059088802",9.44,7.00,-2.440
1400000US06059088901,"06059088901","6059088901",14.33,6.54,-7.790
1400000US06059089004,"06059089004","6059089004",14.09,5.74,-8.350
1400000US06059089105,"06059089105","6059089105",11.38,8.53,-2.850
1400000US06059099222,"06059099222","6059099222",12.83,7.32,-5.510
1400000US06059099227,"06059099227","6059099227",13.72,4.77,-8.950
1400000US06059099233,"06059099233","6059099233",10.73,4.18,-6.550
1400000US06059099241,"06059099241","6059099241",10.50,5.10,-5.400
1400000US06059099246,"06059099246","6059099246",11.22,4.43,-6.790
1400000US06059099306,"06059099306","6059099306",6.12,4.82,-1.300
1400000US06059099407,"06059099407","6059099407",8.09,3.02,-5.070
1400000US06059099413,"06059099413","6059099413",4.49,4.33,-0.160
1400000US06059099504,"06059099504","6059099504",7.76,5.02,-2.740
1400000US06059099510,"06059099510","6059099510",6.48,4.88,-1.600
1400000US06059099513,"06059099513","6059099513",7.94,4.05,-3.890
1400000US06059099701,"06059099701","6059099701",10.56,10.83,0.270
1400000US06059099906,"06059099906","6059099906",9.77,3.57,-6.200
1400000US06059110003,"06059110003","6059110003",8.74,3.02,-5.720
1400000US06059110006,"06059110006","6059110006",7.46,4.32,-3.140
1400000US06059110104,"06059110104","6059110104",8.70,5.09,-3.610
1400000US06059110111,"06059110111","6059110111",6.23,3.68,-2.550
1400000US06059110115,"06059110115","6059110115",4.61,3.24,-1.370
1400000US06059110117,"06059110117","6059110117",3.51,5.28,1.770
1400000US06059110402,"06059110402","6059110402",4.06,6.13,2.070
1400000US06059110603,"06059110603","6059110603",6.12,8.27,2.150
1400000US06059099230,"06059099230","6059099230",8.31,4.58,-3.730
1400000US06059075201,"06059075201","6059075201",9.89,6.63,-3.260
1400000US06059042338,"06059042338","6059042338",9.04,5.93,-3.110
1400000US06059088904,"06059088904","6059088904",10.82,9.37,-1.450
1400000US06059089003,"06059089003","6059089003",15.37,4.63,-10.740
1400000US06059099202,"06059099202","6059099202",10.02,6.35,-3.670
1400000US06059110304,"06059110304","6059110304",6.80,6.68,-0.120
